title,rating,ratingLevel,release year,user rating score,Рейтинг КП,Голоса КП,Рейтинг IMDb,Голоса IMDb,Жанры,Страны
Sofia the First,TV-Y,Suitable for all ages.,2015,82.0,7.142,28460,6.9,4152,"мультфильм, мюзикл, детский, фэнтези, приключения",США
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,2012,85.0,7.804,7350,7.6,3083,"мультфильм, детский, комедия, семейный, короткометражка","США, Канада"
Paddington,PG,mild action and rude humor,2014,70.0,7.258,284499,7.3,139482,"комедия, семейный, приключения, фэнтези","Великобритания, Франция, Китай, США"
Minions,PG,action and rude humor,2015,96.0,6.244,461572,6.4,268009,"мультфильм, фантастика, комедия, криминал, приключения, семейный","США, Франция, Мексика, Япония"
The Little Prince,PG,mild thematic elements,2015,71.0,7.348,550,6.4,4044,"мюзикл, фантастика, фэнтези, семейный","Великобритания, США"
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,1993,81.0,7.566,5918,7.0,114577,"комедия, спорт, семейный",США
Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,1993,96.0,7.926,27712,6.9,51579,"драма, комедия, приключения, семейный",США
Anastasia,G,General Audiences. Suitable for all ages.,1997,93.0,8.112,238072,7.1,137014,"мультфильм, мюзикл, фэнтези, драма, приключения, семейный",США
Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",1997,75.0,0.0,90,4.9,675,комедия,Италия
Curious George,G,General Audiences. Suitable for all ages.,2006,55.0,6.875,1970,6.5,18607,"мультфильм, комедия, приключения, семейный","США, Германия, Тайвань, Франция, Филиппины, Корея Южная, Канада"
Secret of the Wings,G,General Audiences. Suitable for all ages.,2012,65.0,7.424,24480,7.0,14313,"мультфильм, фэнтези, семейный","США, Индия"
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,2015,84.0,8.618,7419,7.6,917,"мультфильм, комедия, приключения, семейный",США
Bunk'd,TV-G,Suitable for all ages.,2016,61.0,0.0,217,5.4,4451,"драма, комедия, семейный",США
The BFG,PG,"for action/peril, some scary moments and brief rude humor",2016,97.0,6.145,42649,6.3,93810,"фэнтези, приключения, семейный","Великобритания, Индия, США"
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,1990,65.0,0.0,81,6.3,244,"короткометражка, комедия",США
The Prince of Egypt,PG,intense scenes dealing with strong content,1998,81.0,7.7,38521,7.2,147543,"мультфильм, мюзикл, фэнтези, драма, приключения, семейный","США, Канада"
The Road to El Dorado,PG,mild thematic material and language,2000,91.0,7.763,63979,6.9,111832,"мультфильм, мюзикл, фэнтези, комедия, приключения, семейный","США, Канада"
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,1998,64.0,5.77,9568,4.8,17569,"мультфильм, мюзикл, драма, мелодрама, приключения, семейный","США, Канада, Япония"
Balto,G,General Audiences. Suitable for all ages.,1995,64.0,8.327,193532,7.1,48418,"мультфильм, драма, приключения, семейный, история","США, Великобритания"
Brother Bear 2,G,General Audiences. Suitable for all ages.,2006,57.0,7.437,17257,6.1,20803,"мультфильм, фэнтези, мелодрама, комедия, приключения, семейный","США, Австралия"
Animaniacs,TV-Y7,Suitable for children ages 7 and older,1997,72.0,6.035,3019,7.9,26468,"мультфильм, короткометражка, мюзикл, комедия, приключения, семейный","США, Япония, Новая Зеландия, Корея Южная, Филиппины, Тайвань"
